Dell,XPS 15,Portable Powerhouse,15.6,Intel Core i7-13700H,16,512,NVIDIA GeForce GTX 1650,Windows 11,1.85
Lenovo,ThinkPad X1 Carbon,Ultrabook,14,Intel Core i7-13620H,16,512,Intel Iris Xe,Windows 11,1.08
HP,Envy 14,Portable Creator,14,Intel Core i7-13620H,16,512,NVIDIA GeForce MX450,Windows 11,1.47
Asus,ZenBook 14,Ultrabook,14,Intel Core i7-13620H,16,512,Intel Iris Xe,Windows 11,1.13
Microsoft,Surface Laptop 4,Portable Productivity,15,Intel Core i7-13620H,16,512,Intel Iris Xe,Windows 11,1.54
Acer,Swift 3,Portable Performance,14,AMD Ryzen 7 7840U,16,512,AMD Radeon 610M,Windows 11,1.2
Razer,Blade Stealth 13,Portable Gaming,13.3,Intel Core i7-13620H,16,512,NVIDIA GeForce GTX 1650,Windows 11,1.34
LG,gram 16,Portable Ultrabook,16,Intel Core i7-13620H,16,512,Intel Iris Xe,Windows 11,1.23
Samsung,Galaxy Book2 360,Portable 2-in-1,13.3,Intel Core i7-13620H,16,512,Intel Iris Xe,Windows 11,1.04
MSI,PS65,Portable Creator,15.6,Intel Core i7-13700H,16,512,NVIDIA GeForce GTX 1660 Ti,Windows 11,1.88
