Dell,XPS 15,Creator,15.6,Intel Core i7-13700H,16,512,NVIDIA GeForce GTX 1660 Ti,Windows 11,1.85
Apple,MacBook Pro 16,Creator,16,Apple M2 Pro,16,512,Apple M2 Pro,macOS,1.83
Asus,Vivobook Pro 16X,Creator,16,AMD Ryzen 9 7940HS,16,512,NVIDIA GeForce RTX 4060,Windows 11,1.95
MSI,PS65,Creator,15.6,Intel Core i7-13700H,16,1024,NVIDIA GeForce GTX 1660 Ti,Windows 11,1.88
Razer,Blade 15,Creator,15.6,Intel Core i7-13700H,16,1024,NVIDIA GeForce RTX 4070,Windows 11,2.15
HP,Envy 15,Creator,15.6,Intel Core i7-13700H,16,512,NVIDIA GeForce GTX 1660 Ti,Windows 11,2.14
Lenovo,ThinkPad P53,Creator,15.6,Intel Core i9-13900H,32,1024,NVIDIA Quadro RTX 4000,Windows 11,2.45
Microsoft,Surface Laptop 4,Creator,15,Intel Core i7-1260P,16,512,Intel Iris Xe,Windows 11,1.54
Gigabyte,Aero 16,Creator,16,Intel Core i9-13900H,32,2048,NVIDIA GeForce RTX 4080,Windows 11,2.3
Asus,ZenBook Pro 16X,Creator,16,AMD Ryzen 9 7940HS,16,1024,NVIDIA GeForce RTX 4060,Windows 11,2.1
