Brand,Model,Category,Display,CPU,RAM,Storage,GPU,OS,Weight,Price,Link
HP,HP ProBook 460 G11,Ordinateur portable,"16"" 1920 x 1200 pixels",Intel Core Ultra 7 155U,32 Go,1000 Go,Intel Arc Graphics,Windows,1.74 kg,CHF 1059.–,https://www.digitec.ch/fr/s1/product/hp-probook-460-g11-16-intel-core-ultra-7-155u-32-go-1000-go-ch-ordinateur-portable-46443765
Lenovo,Lenovo Yoga Slim 7i Aura Edition,Ordinateur portable,"15.30"" 2880 x 1800 pixels",Intel Core Ultra 7 258V,32 Go,1000 Go,Intel Arc Graphics,Windows,1.53 kg,CHF 1299.–,https://www.digitec.ch/fr/s1/product/lenovo-yoga-slim-7i-aura-edition-1530-intel-core-ultra-7-258v-32-go-1000-go-ch-ordinateur-portable-49565156
Lenovo,Lenovo ThinkPad E14 Gen 6,Ordinateur portable,"14"" 1920 x 1200 pixels",AMD Ryzen 5 7535HS,16 Go,512 Go,AMD Radeon,Windows,1.44 kg,CHF 899.–,https://www.digitec.ch/fr/s1/product/lenovo-thinkpad-e14-gen-6-14-amd-ryzen-5-7535hs-16-go-512-go-ch-ordinateur-portable-47076846
ASUS,ASUS Vivobook S 16 Flip OLED TP3604VA-MY226W,Ordinateur portable,"16"" 3200 x 2000 pixels",Intel Core i5-13500H,16 Go,512 Go,Iris Xe Graphics,Windows,1.90 kg,CHF 599.–,https://www.digitec.ch/fr/s1/product/asus-vivobook-s-16-flip-oled-tp3604va-my226w-16-intel-core-i5-13500h-16-go-512-go-ch-ordinateur-port-46702070
HP,HP ProBook 460 G11,Ordinateur portable,"16"" 1920 x 1200 pixels",Intel Core Ultra 5 125H,16 Go,512 Go,Intel Arc Graphics,Windows,1.74 kg,CHF 819.–,https://www.digitec.ch/fr/s1/product/hp-probook-460-g11-16-intel-core-ultra-5-125h-16-go-512-go-ch-ordinateur-portable-46443750
Lenovo,Lenovo Yoga Book 9,Ordinateur portable,"13.30"" 2880 x 1800 pixels",Intel Core Ultra 7 155U,32 Go,1000 Go,Intel HD Graphics,Windows,1.34 kg,CHF 1499.–,https://www.digitec.ch/fr/s1/product/lenovo-yoga-book-9-1330-intel-core-ultra-7-155u-32-go-1000-go-ch-ordinateur-portable-40246698
Lenovo,Lenovo ThinkPad E16 Gen 2,Ordinateur portable,"16"" 1920 x 1200 pixels",Intel Core Ultra 5 125U,16 Go,1000 Go,Intel UHD Graphics,Windows,1.81 kg,CHF 899.–,https://www.digitec.ch/fr/s1/product/lenovo-thinkpad-e16-gen-2-16-intel-core-ultra-5-125u-16-go-1000-go-ch-ordinateur-portable-47076779
HP,HP Envy x360 14-fa0632nz,Ordinateur portable,"14"" 1920 x 1200 pixels",AMD Ryzen 7 8840HS,16 Go,512 Go,AMD Radeon,Windows,1.51 kg,CHF 949.–,https://www.digitec.ch/fr/s1/product/hp-envy-x360-14-fa0632nz-14-amd-ryzen-7-8840hs-16-go-512-go-ch-ordinateur-portable-43708852
ASUS,ASUS Vivobook S 16 OLED,Ordinateur portable,"16"" 3200 x 2000 pixels",AMD Ryzen AI 9 HX 370,32 Go,1000 Go,AMD Radeon,Windows,1.50 kg,CHF 1572.–,https://www.digitec.ch/fr/s1/product/asus-vivobook-s-16-oled-16-amd-ryzen-ai-9-hx-370-32-go-1000-go-ch-ordinateur-portable-46283153
Lenovo,Lenovo ThinkBook 16 Gen 7,Ordinateur portable,"16"" 1920 x 1200 pixels",Intel Core Ultra 7 155H,32 Go,1000 Go,Intel Arc Graphics,Windows,1.92 kg,CHF 1099.–,https://www.digitec.ch/fr/s1/product/lenovo-thinkbook-16-gen-7-16-intel-core-ultra-7-155h-32-go-1000-go-ch-ordinateur-portable-43139738
HP,HP 250 G10,Ordinateur portable,"15.60"" 1920 x 1080 pixels",Intel Core i5-1335U,16 Go,512 Go,Intel Iris Graphics,Windows,1.52 kg,CHF 629.–,https://www.digitec.ch/fr/s1/product/hp-250-g10-1560-intel-core-i5-1335u-16-go-512-go-ch-ordinateur-portable-36992523
Lenovo,Lenovo ThinkPad E14 Gen 6,Ordinateur portable,"14"" 1920 x 1200 pixels",Intel Core Ultra 7 155H,32 Go,1000 Go,Intel Arc Graphics,Windows,1.44 kg,CHF 999.–,https://www.digitec.ch/fr/s1/product/lenovo-thinkpad-e14-gen-6-14-intel-core-ultra-7-155h-32-go-1000-go-ch-ordinateur-portable-44743750
HP,HP ZBook Firefly 14 G11,Ordinateur portable,"14"" 2560 x 1600 pixels",Intel Core Ultra 7 155H,34.36 Go,1000 Go,Intel Arc Graphics,Windows,1.45 kg,CHF 1679.–,https://www.digitec.ch/fr/s1/product/hp-zbook-firefly-14-g11-14-intel-core-ultra-7-155h-3436-go-1000-go-ch-ordinateur-portable-45089930
HP,HP ProBook 440 G11,Ordinateur portable,"14"" 1920 x 1200 pixels",Intel Core Ultra 7 155U,16 Go,512 Go,Intel Arc Graphics,Windows,1.39 kg,CHF 779.–,https://www.digitec.ch/fr/s1/product/hp-probook-440-g11-14-intel-core-ultra-7-155u-16-go-512-go-ch-ordinateur-portable-46443745
Lenovo,Lenovo IdeaPad Pro 5,Ordinateur portable,"16"" 2560 x 1600 pixels",Intel Core Ultra 9 185H,32 Go,1000 Go,Intel Arc Graphics,Windows,1.91 kg,CHF 1249.–,https://www.digitec.ch/fr/s1/product/lenovo-ideapad-pro-5-16-intel-core-ultra-9-185h-32-go-1000-go-ch-ordinateur-portable-43238982
HP,HP 255 G10,Ordinateur portable,"15.60"" 1920 x 1080 pixels",AMD Ryzen 5 7530U,16 Go,512 Go,AMD Radeon,Windows,1.52 kg,CHF 559.–,https://www.digitec.ch/fr/s1/product/hp-255-g10-1560-amd-ryzen-5-7530u-16-go-512-go-ch-ordinateur-portable-36992524
ASUS,ASUS TUF Gaming A15 RTX 3050,Ordinateur portable,"15.60"" 1920 x 1080 pixels",AMD Ryzen 5 7535HS,16 Go,512 Go,nVidia GeForce,Windows,2.30 kg,CHF 949.–,https://www.digitec.ch/fr/s1/product/asus-tuf-gaming-a15-rtx-3050-1560-amd-ryzen-5-7535hs-16-go-512-go-ch-ordinateur-portable-40967281
Lenovo,Lenovo V15 G4,Ordinateur portable,"15.60"" 1920 x 1080 pixels",AMD Ryzen 7 7730U,16 Go,512 Go,AMD Radeon,Windows,1.65 kg,CHF 549.–,https://www.digitec.ch/fr/s1/product/lenovo-v15-g4-1560-amd-ryzen-7-7730u-16-go-512-go-ch-ordinateur-portable-42931854
HP,HP EliteBook 860 G11,Ordinateur portable,"16"" 1920 x 1200 pixels",Intel Core Ultra 7 155H,32 Go,1000 Go,Intel Arc Graphics,Windows,1.73 kg,CHF 1928.–,https://www.digitec.ch/fr/s1/product/hp-elitebook-860-g11-16-intel-core-ultra-7-155h-32-go-1000-go-ch-ordinateur-portable-44726178
Lenovo,Lenovo ThinkBook 16p Gen 5,Ordinateur portable,"16"" 3200 x 2000 pixels",Intel Core i9-14900HX,32 Go,1000 Go,Intel Iris Graphics,Windows,2.20 kg,CHF 1699.–,https://www.digitec.ch/fr/s1/product/lenovo-thinkbook-16p-gen-5-16-intel-core-i9-14900hx-32-go-1000-go-ch-ordinateur-portable-44744111
HP,HP EliteBook 660 G11,Ordinateur portable,"16"" 1920 x 1200 pixels",Intel Core Ultra 7 155U,16 Go,512 Go,Intel Arc Graphics,Windows,1.74 kg,CHF 1101.–,https://www.digitec.ch/fr/s1/product/hp-elitebook-660-g11-16-intel-core-ultra-7-155u-16-go-512-go-ch-ordinateur-portable-45127253
Lenovo,Lenovo ThinkBook 14 Gen 7,Ordinateur portable,"14"" 1920 x 1200 pixels",AMD Ryzen 7 7735HS,16 Go,512 Go,AMD Radeon Pro,Windows,1.38 kg,CHF 599.–,https://www.digitec.ch/fr/s1/product/lenovo-thinkbook-14-gen-7-14-amd-ryzen-7-7735hs-16-go-512-go-ch-ordinateur-portable-47076679
HP,HP 250 G10,Ordinateur portable,"15.60"" 1920 x 1080 pixels",Intel N200,8 Go,256 Go,Intel UHD Graphics,Windows,1.52 kg,CHF 379.–,https://www.digitec.ch/fr/s1/product/hp-250-g10-1560-intel-n200-8-go-256-go-ch-ordinateur-portable-36992521
HP,HP 15-fd1752nz,Ordinateur portable,"15.60"" 1920 x 1080 pixels",Intel Core 7 150U,16 Go,1000 Go,Intel UHD Graphics,Windows,1.59 kg,CHF 669.–,https://www.digitec.ch/fr/s1/product/hp-15-fd1752nz-1560-intel-core-7-150u-16-go-1000-go-ch-ordinateur-portable-43709621
ASUS,ASUS TUF Gaming A15,Ordinateur portable,"15.60"" 2560 x 1440 pixels",AMD Ryzen 7 8845HS,16 Go,512 Go,AMD Radeon,Windows,2.20 kg,CHF 1439.–,https://www.digitec.ch/fr/s1/product/asus-tuf-gaming-a15-1560-amd-ryzen-7-8845hs-16-go-512-go-ch-ordinateur-portable-53695740
Lenovo,Lenovo IdeaPad 5 2-en-1,Ordinateur portable,"14"" 1920 x 1200 pixels",Snapdragon X Plus X1P-42-100,16 Go,1000 Go,Qualcomm Adreno,Windows,1.49 kg,CHF 578.68,https://www.digitec.ch/fr/s1/product/lenovo-ideapad-5-2-en-1-14-snapdragon-x-plus-x1p-42-100-16-go-1000-go-ch-ordinateur-portable-49660333?shid=1932272
Apple,Apple MacBook Pro 14 – 2024,Ordinateur portable,"14.20"" 3024 x 1964 pixels",M4 Pro,24 Go,512 Go,Apple,MacOS,1.60 kg,CHF 1772.–,https://www.digitec.ch/fr/s1/product/apple-macbook-pro-14-2024-1420-m4-pro-24-go-512-go-ch-ordinateur-portable-52511239
Lenovo,Lenovo ThinkPad X1 Carbon Gen 13,Ordinateur portable,"14"" 2880 x 1800 pixels",Intel Core Ultra 7 258V,32 Go,1000 Go,Intel Arc Graphics,Windows,1 kg,CHF 2375.–,https://www.digitec.ch/fr/s1/product/lenovo-thinkpad-x1-carbon-gen-13-14-intel-core-ultra-7-258v-32-go-1000-go-ch-ordinateur-portable-53727701
Apple,Apple MacBook Air - 2025,Ordinateur portable,"13.60"" 2560 x 1664 pixels",M4,16 Go,512 Go,Apple,MacOS,1.24 kg,CHF 1188.–,https://www.digitec.ch/fr/s1/product/apple-macbook-air-2025-1360-m4-16-go-512-go-ch-ordinateur-portable-55650000
HP,HP Envy x360 14-fc0742nz,Ordinateur portable,"14"" 1920 x 1200 pixels",Intel Core Ultra 7 155U,16 Go,1000 Go,Intel Arc Graphics,Windows,1.39 kg,CHF 839.–,https://www.digitec.ch/fr/s1/product/hp-envy-x360-14-fc0742nz-14-intel-core-ultra-7-155u-16-go-1000-go-ch-ordinateur-portable-43709622
Lenovo,Lenovo ThinkPad E16 Gen 2,Ordinateur portable,"16"" 1920 x 1200 pixels",AMD Ryzen 5 7535HS,16 Go,512 Go,AMD Radeon,Windows,1.81 kg,CHF 639.–,https://www.digitec.ch/fr/s1/product/lenovo-thinkpad-e16-gen-2-16-amd-ryzen-5-7535hs-16-go-512-go-ch-ordinateur-portable-47076608
Lenovo,Lenovo V15 Gen 4,Ordinateur portable,"15.60"" 1920 x 1080 pixels",AMD Ryzen 3 7320U,8 Go,512 Go,AMD Radeon,Windows,1.65 kg,CHF 379.–,https://www.digitec.ch/fr/s1/product/lenovo-v15-gen-4-1560-amd-ryzen-3-7320u-8-go-512-go-ch-ordinateur-portable-24122196
HP,HP ProBook 440 G11,Ordinateur portable,"14"" 1920 x 1200 pixels",Intel Core Ultra 7 155H,32 Go,1000 Go,Intel Arc Graphics,Windows,1.39 kg,CHF 1079.–,https://www.digitec.ch/fr/s1/product/hp-probook-440-g11-14-intel-core-ultra-7-155h-32-go-1000-go-ch-ordinateur-portable-46443744
ASUS,ASUS Vivobook S 16 Flip,Ordinateur portable,"16"" 1920 x 1200 pixels",AMD Ryzen 7 7730U,16 Go,1000 Go,AMD Radeon,Windows,1.90 kg,CHF 649.–,https://www.digitec.ch/fr/s1/product/asus-vivobook-s-16-flip-16-amd-ryzen-7-7730u-16-go-1000-go-ch-ordinateur-portable-53695753
HP,HP ProBook 460 G11,Ordinateur portable,"16"" 1920 x 1200 pixels",Intel Core Ultra 7 155H,16 Go,512 Go,Intel Arc Graphics,Windows,1.74 kg,CHF 799.–,https://www.digitec.ch/fr/s1/product/hp-probook-460-g11-16-intel-core-ultra-7-155h-16-go-512-go-ch-ordinateur-portable-46443764
ASUS,ASUS Vivobook 17,Ordinateur portable,"17.30"" 1920 x 1080 pixels",Intel Core i7-1355U,16 Go,1000 Go,Intel Iris Graphics,Windows,2.10 kg,CHF 903.–,https://www.digitec.ch/fr/s1/product/asus-vivobook-17-1730-intel-core-i7-1355u-16-go-1000-go-ch-ordinateur-portable-25400738
Lenovo,Lenovo IdeaPad Pro 5,Ordinateur portable,"16"" 2560 x 1600 pixels",Intel Core Ultra 7 155H,32 Go,1000 Go,Intel Arc Graphics,Windows,1.91 kg,CHF 949.–,https://www.digitec.ch/fr/s1/product/lenovo-ideapad-pro-5-16-intel-core-ultra-7-155h-32-go-1000-go-ch-ordinateur-portable-41215650
Apple,Apple MacBook Pro 14 - 2024,Ordinateur portable,"14.20"" 3024 x 1964 pixels",M4,16 Go,512 Go,Apple,MacOS,1.55 kg,CHF 1469.–,https://www.digitec.ch/fr/s1/product/apple-macbook-pro-14-2024-1420-m4-16-go-512-go-ch-ordinateur-portable-52511232
Apple,Apple MacBook Air – 2024,Ordinateur portable,"13.60"" 2560 x 1664 pixels",M3,16 Go,256 Go,Apple,MacOS,1.24 kg,CHF 879.–,https://www.digitec.ch/fr/s1/product/apple-macbook-air-2024-1360-m3-16-go-256-go-ch-ordinateur-portable-43714029
